,time,discounted reward
0,0,-2.0000000000000004
1,25,-30.943011562756862
2,50,-50.38305353381067
3,75,-65.741601973211
4,100,-80.54687086676078
5,125,-92.44542652146086
6,150,-101.02239794660362
7,175,-107.96285691855265
8,200,-113.07690636313755
9,225,-116.8854693239436
10,250,-119.82982034009811
11,275,-122.08206566124619
12,300,-123.7309643243224
13,325,-124.97686408131143
14,350,-125.85072278411027
15,375,-126.79785756710345
16,400,-127.46332110458144
17,425,-128.0098772614177
18,450,-128.443981242906
19,475,-128.7499704625183
20,500,-129.00837887468296
21,525,-129.2298473665855
22,550,-129.38187073405135
23,575,-129.49386800111517
24,600,-129.59541677617642
25,625,-129.66240879171244
26,650,-129.7223899624329
27,675,-129.77060612893806
28,700,-129.8024857247481
29,725,-129.82711531636272
30,750,-129.84757744702878
31,775,-129.86430070524716
32,800,-129.87787444658
33,825,-129.88646646092664
34,850,-129.89350801675369
35,875,-129.89939962185665
36,900,-129.90431048415007
37,925,-129.9079116184369
38,950,-129.9100246416213
39,975,-129.91212337820315
40,1000,-129.91365176505636
41,1025,-129.9147719051585
42,1050,-129.9156436089046
43,1075,-129.91641389782527
44,1100,-129.91704244313067
45,1125,-129.91757982735362
46,1150,-129.91794135409907
47,1175,-129.9182498706155
48,1200,-129.91848117204086
49,1225,-129.91865241814793
50,1250,-129.9187843879035
51,1275,-129.91889242505007
52,1300,-129.91897549059888
53,1325,-129.91903328409813
54,1350,-129.9190794183909
55,1375,-129.91912034462186
56,1400,-129.91914836838657
57,1425,-129.91917050841354
58,1450,-129.91918846675406
59,1475,-129.91920044847686
60,1500,-129.91921150182574
61,1525,-129.91922052646325
62,1550,-129.9192266707508
63,1575,-129.91923200619328
64,1600,-129.9192362741151
65,1625,-129.91923897700545
66,1650,-129.9192414114928
67,1675,-129.91924313865204
68,1700,-129.91924445954734
69,1725,-129.91924560297318
70,1750,-129.91924640531977
71,1775,-129.919247066102
72,1800,-129.91924764721753
73,1825,-129.91924806724856
74,1850,-129.91924839849227
75,1875,-129.9192486321128
76,1900,-129.9192488189174
77,1925,-129.9192489584283
78,1950,-129.91924905952447
79,1975,-129.91924913472275
80,2000,-129.91924920718512
81,2025,-129.91924926358686
82,2050,-129.91924930928914
83,2075,-129.91924934748417
84,2100,-129.9192493725773
85,2125,-129.9192493945629
86,2150,-129.91924941076837
87,2175,-129.91924942349905
88,2200,-129.91924943383714
89,2225,-129.9192494412593
90,2250,-129.91924944676754
91,2275,-129.91924945169654
92,2300,-129.91924945559623
93,2325,-129.91924945816965
94,2350,-129.9192494601714
95,2375,-129.91924946174976
96,2400,-129.9192494629641
97,2425,-129.91924946395315
98,2450,-129.91924946479674
99,2475,-129.91924946539652
100,2500,-129.91924946592013
101,2525,-129.91924946626142
102,2550,-129.91924946655107
103,2575,-129.9192494667958
104,2600,-129.91924946699942
105,2625,-129.91924946714457
106,2650,-129.9192494672511
107,2675,-129.91924946731964
108,2700,-129.91924946738365
109,2725,-129.91924946743177
110,2750,-129.91924946746673
111,2775,-129.91924946749765
112,2800,-129.9192494675219
113,2825,-129.9192494675397
114,2850,-129.91924946755321
115,2875,-129.91924946756325
116,2900,-129.91924946757194
117,2925,-129.91924946757825
118,2950,-129.91924946758326
119,2975,-129.91924946758718
120,3000,-129.91924946759028
121,3025,-129.91924946759258
122,3050,-129.91924946759445
123,3075,-129.91924946759596
124,3100,-129.91924946759733
125,3125,-129.91924946759815
126,3150,-129.91924946759883
127,3175,-129.91924946759943
128,3200,-129.91924946759988
129,3225,-129.91924946760028
130,3250,-129.9192494676005
131,3275,-129.9192494676005
132,3300,-129.9192494676005
133,3325,-129.9192494676005
134,3350,-129.9192494676005
135,3375,-129.9192494676005
136,3400,-129.9192494676005
137,3425,-129.9192494676005
138,3450,-129.9192494676005
139,3475,-129.9192494676005
140,3500,-129.9192494676005
141,3525,-129.9192494676005
142,3550,-129.9192494676005
143,3575,-129.9192494676005
144,3600,-129.9192494676005
145,3625,-129.9192494676005
146,3650,-129.9192494676005
147,3675,-129.9192494676005
148,3700,-129.9192494676005
149,3725,-129.9192494676005
150,3750,-129.9192494676005
151,3775,-129.9192494676005
152,3800,-129.9192494676005
153,3825,-129.9192494676005
154,3850,-129.9192494676005
155,3875,-129.9192494676005
156,3900,-129.9192494676005
157,3925,-129.9192494676005
158,3950,-129.9192494676005
159,3975,-129.9192494676005
160,4000,-129.9192494676005
161,4025,-129.9192494676005
162,4050,-129.9192494676005
163,4075,-129.9192494676005
164,4100,-129.9192494676005
165,4125,-129.9192494676005
166,4150,-129.9192494676005
167,4175,-129.9192494676005
168,4200,-129.9192494676005
169,4225,-129.9192494676005
170,4250,-129.9192494676005
171,4275,-129.9192494676005
172,4300,-129.9192494676005
173,4325,-129.9192494676005
174,4350,-129.9192494676005
175,4375,-129.9192494676005
176,4400,-129.9192494676005
177,4425,-129.9192494676005
178,4450,-129.9192494676005
179,4475,-129.9192494676005
180,4500,-129.9192494676005
181,4525,-129.9192494676005
182,4550,-129.9192494676005
183,4575,-129.9192494676005
184,4600,-129.9192494676005
185,4625,-129.9192494676005
186,4650,-129.9192494676005
187,4675,-129.9192494676005
188,4700,-129.9192494676005
189,4725,-129.9192494676005
190,4750,-129.9192494676005
191,4775,-129.9192494676005
192,4800,-129.9192494676005
193,4825,-129.9192494676005
194,4850,-129.9192494676005
195,4875,-129.9192494676005
196,4900,-129.9192494676005
197,4925,-129.9192494676005
198,4950,-129.9192494676005
199,4975,-129.9192494676005
