,time,switch exchanges
0,0,1
1,25,12
2,50,17
3,75,30
4,100,38
5,125,46
6,150,50
7,175,59
8,200,70
9,225,82
10,250,93
11,275,100
12,300,110
13,325,117
14,350,125
15,375,134
16,400,141
17,425,146
18,450,154
19,475,161
20,500,173
21,525,183
22,550,194
23,575,198
24,600,206
25,625,215
26,650,221
27,675,227
28,700,232
29,725,242
30,750,248
31,775,256
32,800,264
33,825,278
34,850,288
35,875,301
36,900,305
37,925,319
38,950,328
39,975,339
40,1000,351
41,1025,359
42,1050,368
43,1075,378
44,1100,393
45,1125,405
46,1150,418
47,1175,425
48,1200,435
49,1225,446
50,1250,451
51,1275,458
52,1300,467
53,1325,479
54,1350,489
55,1375,500
56,1400,510
57,1425,523
58,1450,531
59,1475,541
60,1500,551
61,1525,560
62,1550,569
63,1575,579
64,1600,592
65,1625,605
66,1650,614
67,1675,618
68,1700,626
69,1725,640
70,1750,648
71,1775,659
72,1800,667
73,1825,673
74,1850,683
75,1875,694
76,1900,706
77,1925,712
78,1950,718
79,1975,728
80,2000,739
81,2025,748
82,2050,755
83,2075,764
84,2100,777
85,2125,786
86,2150,798
87,2175,808
88,2200,817
89,2225,825
90,2250,831
91,2275,840
92,2300,852
93,2325,865
94,2350,875
95,2375,883
96,2400,896
97,2425,907
98,2450,918
99,2475,923
100,2500,931
101,2525,942
102,2550,951
103,2575,961
104,2600,966
105,2625,975
106,2650,980
107,2675,987
108,2700,1000
109,2725,1005
110,2750,1016
111,2775,1025
112,2800,1033
113,2825,1039
114,2850,1050
115,2875,1055
116,2900,1063
117,2925,1074
118,2950,1083
119,2975,1092
120,3000,1099
121,3025,1110
122,3050,1121
123,3075,1132
124,3100,1140
125,3125,1152
126,3150,1164
127,3175,1177
128,3200,1186
129,3225,1194
130,3250,1207
131,3275,1216
132,3300,1231
133,3325,1242
134,3350,1250
135,3375,1258
136,3400,1271
137,3425,1281
138,3450,1296
139,3475,1313
140,3500,1326
141,3525,1339
142,3550,1353
143,3575,1364
144,3600,1373
145,3625,1383
146,3650,1392
147,3675,1404
148,3700,1416
149,3725,1427
150,3750,1436
151,3775,1447
152,3800,1455
153,3825,1468
154,3850,1483
155,3875,1495
156,3900,1505
157,3925,1515
158,3950,1526
159,3975,1537
160,4000,1548
161,4025,1561
162,4050,1569
163,4075,1582
164,4100,1598
165,4125,1611
166,4150,1623
167,4175,1635
168,4200,1643
169,4225,1655
170,4250,1660
171,4275,1670
172,4300,1680
173,4325,1685
174,4350,1688
175,4375,1700
176,4400,1708
177,4425,1719
178,4450,1733
179,4475,1745
180,4500,1757
181,4525,1769
182,4550,1780
183,4575,1789
184,4600,1802
185,4625,1812
186,4650,1823
187,4675,1832
188,4700,1845
189,4725,1853
190,4750,1860
191,4775,1871
192,4800,1883
193,4825,1890
194,4850,1900
195,4875,1913
196,4900,1923
197,4925,1932
198,4950,1938
199,4975,1942
200,5000,1949
201,5025,1962
202,5050,1971
203,5075,1982
204,5100,1998
205,5125,2007
206,5150,2020
207,5175,2029
208,5200,2040
209,5225,2051
210,5250,2062
211,5275,2070
212,5300,2079
213,5325,2086
214,5350,2096
215,5375,2106
216,5400,2116
217,5425,2124
218,5450,2133
219,5475,2145
220,5500,2151
221,5525,2155
222,5550,2163
223,5575,2174
224,5600,2181
225,5625,2193
226,5650,2203
227,5675,2214
228,5700,2226
229,5725,2237
230,5750,2249
231,5775,2255
232,5800,2261
233,5825,2266
234,5850,2275
235,5875,2286
236,5900,2297
237,5925,2312
238,5950,2322
239,5975,2332
