,time,switch exchanges
0,0,0
1,25,15
2,50,31
3,75,46
4,100,65
5,125,83
6,150,101
7,175,116
8,200,135
9,225,151
10,250,169
11,275,188
12,300,206
13,325,223
14,350,237
15,375,254
16,400,270
17,425,291
18,450,308
19,475,330
20,500,347
21,525,366
22,550,386
23,575,403
24,600,419
25,625,436
26,650,454
27,675,467
28,700,481
29,725,499
30,750,515
31,775,535
32,800,550
33,825,565
34,850,582
35,875,601
36,900,618
37,925,637
38,950,651
39,975,667
40,1000,684
41,1025,704
42,1050,722
43,1075,737
44,1100,752
45,1125,769
46,1150,789
47,1175,800
48,1200,818
49,1225,838
50,1250,855
51,1275,869
52,1300,885
53,1325,903
54,1350,917
55,1375,934
56,1400,948
57,1425,961
58,1450,979
59,1475,1001
60,1500,1018
61,1525,1031
62,1550,1049
63,1575,1067
64,1600,1084
65,1625,1101
66,1650,1118
67,1675,1136
68,1700,1152
69,1725,1168
70,1750,1185
71,1775,1201
72,1800,1222
73,1825,1241
74,1850,1257
75,1875,1271
76,1900,1284
77,1925,1300
78,1950,1316
79,1975,1329
80,2000,1347
81,2025,1365
82,2050,1381
83,2075,1400
84,2100,1420
85,2125,1436
86,2150,1452
87,2175,1471
88,2200,1487
89,2225,1505
90,2250,1526
91,2275,1543
92,2300,1561
93,2325,1576
94,2350,1592
95,2375,1612
96,2400,1633
97,2425,1655
98,2450,1673
99,2475,1695
100,2500,1714
101,2525,1729
102,2550,1743
103,2575,1758
104,2600,1773
105,2625,1789
106,2650,1803
107,2675,1824
108,2700,1840
109,2725,1856
110,2750,1876
111,2775,1894
112,2800,1909
113,2825,1927
114,2850,1949
115,2875,1965
116,2900,1981
117,2925,1994
118,2950,2009
119,2975,2028
120,3000,2045
121,3025,2067
122,3050,2084
123,3075,2105
124,3100,2120
125,3125,2137
126,3150,2151
127,3175,2172
128,3200,2193
129,3225,2214
130,3250,2227
131,3275,2249
132,3300,2264
133,3325,2279
134,3350,2293
135,3375,2310
136,3400,2326
137,3425,2342
138,3450,2359
139,3475,2378
140,3500,2395
141,3525,2415
142,3550,2428
143,3575,2446
144,3600,2462
145,3625,2480
146,3650,2499
147,3675,2519
148,3700,2536
149,3725,2556
150,3750,2574
151,3775,2593
152,3800,2613
153,3825,2633
154,3850,2650
155,3875,2666
156,3900,2681
157,3925,2693
158,3950,2708
159,3975,2724
160,4000,2738
161,4025,2754
162,4050,2772
163,4075,2791
164,4100,2805
165,4125,2824
166,4150,2838
167,4175,2857
168,4200,2874
169,4225,2889
170,4250,2910
171,4275,2922
172,4300,2939
173,4325,2953
174,4350,2969
175,4375,2985
176,4400,3005
177,4425,3025
178,4450,3044
179,4475,3061
180,4500,3076
181,4525,3093
182,4550,3108
183,4575,3125
184,4600,3142
185,4625,3161
186,4650,3177
187,4675,3193
188,4700,3211
189,4725,3229
190,4750,3245
191,4775,3263
192,4800,3282
193,4825,3302
194,4850,3317
195,4875,3338
196,4900,3358
197,4925,3373
198,4950,3389
199,4975,3404
200,5000,3421
201,5025,3436
202,5050,3453
203,5075,3469
204,5100,3487
205,5125,3502
206,5150,3520
207,5175,3541
208,5200,3555
209,5225,3571
210,5250,3589
211,5275,3604
212,5300,3620
213,5325,3634
214,5350,3651
215,5375,3669
216,5400,3684
217,5425,3700
218,5450,3720
219,5475,3740
220,5500,3755
221,5525,3775
222,5550,3790
223,5575,3807
224,5600,3826
225,5625,3841
226,5650,3859
227,5675,3872
228,5700,3887
229,5725,3903
230,5750,3920
231,5775,3938
232,5800,3951
233,5825,3969
234,5850,3989
235,5875,4009
236,5900,4029
237,5925,4052
238,5950,4070
239,5975,4088
